model_type,params,f1_score
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",70.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",70.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",67.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",67.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",68.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",68.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",66.2
